Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation  [sfc];Snowfall amount  [sfc];Wind speed  [10 m above gnd];Wind direction  [10 m above gnd];Wind Gust  [10 m above gnd]
2016;12;04;14;00;1.38;89.00;1031.20;0.00;0.00;18.12;249.04;18.36
2016;12;04;15;00;1.16;91.00;1032.20;0.00;0.00;17.76;252.30;21.24
2016;12;04;16;00;0.90;93.00;1032.30;0.00;0.00;17.25;246.64;21.96
2016;12;04;17;00;0.81;94.00;1032.30;0.00;0.00;17.55;244.49;21.96
2016;12;04;18;00;0.70;94.00;1032.20;0.00;0.00;18.53;245.92;21.60
2016;12;04;19;00;0.67;94.00;1032.70;0.00;0.00;21.13;246.93;24.48
2016;12;04;20;00;0.63;94.00;1032.80;0.00;0.00;22.93;247.86;25.56
2016;12;04;21;00;0.57;94.00;1032.60;0.00;0.00;24.97;245.28;24.84
2016;12;04;22;00;0.56;94.00;1032.50;0.00;0.00;26.76;246.19;32.04
2016;12;04;23;00;0.56;95.00;1032.70;0.00;0.00;27.35;249.18;27.36
2016;12;05;00;00;0.52;95.00;1032.60;0.00;0.00;27.90;250.40;28.80
2016;12;05;01;00;0.64;95.00;1032.60;0.00;0.00;27.48;248.48;29.88
2016;12;05;02;00;0.74;95.00;1032.20;0.00;0.00;27.75;247.09;33.84
2016;12;05;03;00;0.83;95.00;1032.40;0.00;0.00;28.95;248.86;35.28
2016;12;05;04;00;0.86;95.00;1032.10;0.00;0.00;29.50;250.02;36.72
2016;12;05;05;00;0.77;95.00;1031.30;0.00;0.00;30.30;249.84;37.44
2016;12;05;06;00;0.67;95.00;1031.90;0.00;0.00;30.76;249.44;33.48
2016;12;05;07;00;0.46;95.00;1031.10;0.00;0.00;31.56;249.29;34.20
2016;12;05;08;00;0.23;94.00;1030.70;0.00;0.00;33.96;248.88;36.36
2016;12;05;09;00;0.43;92.00;1030.60;0.00;0.00;36.83;248.20;41.04
2016;12;05;10;00;1.01;87.00;1030.40;0.00;0.00;39.97;252.71;41.76
2016;12;05;11;00;1.57;84.00;1029.90;0.00;0.00;41.65;255.48;43.20
2016;12;05;12;00;2.26;82.00;1029.90;0.00;0.00;41.51;258.50;43.20
2016;12;05;13;00;2.96;80.00;1029.00;0.00;0.00;40.90;260.37;43.92
2016;12;05;14;00;2.98;81.00;1028.00;0.00;0.00;40.19;260.20;44.28
2016;12;05;15;00;2.41;84.00;1028.60;0.00;0.00;39.90;259.60;44.28
2016;12;05;16;00;1.87;86.00;1028.60;0.00;0.00;38.77;259.84;45.00
2016;12;05;17;00;1.60;88.00;1027.60;0.00;0.00;38.40;263.54;44.28
2016;12;05;18;00;1.34;89.00;1027.60;0.00;0.00;38.24;266.22;42.84
2016;12;05;19;00;1.41;88.00;1028.00;0.00;0.00;38.55;267.86;42.84
2016;12;05;20;00;1.42;88.00;1028.20;0.00;0.00;37.83;267.82;42.48
2016;12;05;21;00;1.37;89.00;1027.70;0.00;0.00;38.54;268.39;41.76
2016;12;05;22;00;1.44;92.00;1027.70;0.00;0.00;38.89;271.59;40.32
2016;12;05;23;00;1.66;94.00;1027.50;0.00;0.00;37.61;275.49;39.24
